KATEGORIJA,ANTRAŠTĖ,NUORODA
Kriminalai ir nelaimės,Šimtai ugdymo įstaigų sulaukė grasinimų: dalis mokyklų evakuojama,https://www.delfi.lt/news/daily/crime/simtai-ugdymo-istaigu-sulauke-grasinimu-dalis-mokyklu-evakuojama.d?id=94782497
Užsienyje,„Hamas“ ataka Izraelyje. Po Izraelio įspėjimo dėl evakuacijos – chaosas: tai „beprecedentė situacija“,https://www.delfi.lt/news/daily/world/hamas-ataka-izraelyje-po-izraelio-ispejimo-del-evakuacijos-chaosas-tai-beprecedente-situacija.d?id=94781603
Sveikata,Pusantrų metų sulaukusiai Giedrės dukrelei sustojo širdis: nuo to laiko gyvenimas apsivertė,https://www.delfi.lt/sveikata/iveik-liga/pusantru-metu-sulaukusiai-giedres-dukrelei-sustojo-sirdis-nuo-to-laiko-gyvenimas-apsiverte.d?id=94781065
Finansinis švietimas,"Užmokesčio atotrūkis Lietuvoje nemažėja – apskaičiuokite, ar gaunate nusipelnytą algą",https://www.delfi.lt/projektai/finansinis-svietimas/uzmokescio-atotrukis-lietuvoje-nemazeja-apskaiciuokite-ar-gaunate-nusipelnyta-alga.d?id=94772549
Letena,Gyčio Ivanausko „helikopteris“ sukėlė tikrą reakcijų audrą: internautai pasmerkė nederamą elgesį su gyvūnu,https://www.delfi.lt/letena/gyvunu-teises/gycio-ivanausko-helikopteris-sukele-tikra-reakciju-audra-internautai-pasmerke-nederama-elgesi-su-gyvunu.d?id=94782213
Lietuvoje,Penktadienį visoje šalyje stiprinamas policijos darbas: turi svarbų prašymą ir visiems Lietuvos žmonėms,https://www.delfi.lt/news/daily/lithuania/penktadieni-visoje-salyje-stiprinamas-policijos-darbas-turi-svarbu-prasyma-ir-visiems-lietuvos-zmonems.d?id=94781793
Užsakomasis turinys,"Agnė Kuzmickaitė: „Mada visada yra tai, kas žvelgia į ateitį“",https://www.delfi.lt/uzsakomasis-turinys/premium/agne-kuzmickaite-mada-visada-yra-tai-kas-zvelgia-i-ateiti.d?id=94763435
Lietuvoje,Mokytojai ir policija galės laisvai tikrinti moksleivių daiktus,https://www.delfi.lt/news/daily/lithuania/mokytojai-ir-policija-gales-laisvai-tikrinti-moksleiviu-daiktus.d?id=94659493
Užsienyje,Karas Ukrainoje. Skelbiama apie galingą sprogimą Rusijoje,https://www.delfi.lt/news/daily/world/karas-ukrainoje-skelbiama-apie-galinga-sprogima-rusijoje.d?id=94781715
Multimedija,Ginekologė aptarė didžiausius moters sveikatos iššūkius: nuo PMS švelninimo iki menopauzės ir kuriais atvejais kreiptis į medikus būtina,https://www.delfi.lt/multimedija/sveikatos-mitai/ginekologe-aptare-didziausius-moters-sveikatos-issukius-nuo-pms-svelninimo-iki-menopauzes-ir-kuriais-atvejais-kreiptis-i-medikus-butina.d?id=94764087
Melas,Ar tikrai žmonės vakcinuojami oru jiems nežinant?,https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-zmones-vakcinuojami-oru-jiems-nezinant.d?id=94778899
Krepšinis,NBA pasiruošimo cikle – „Pelicans“ pralaimėjimas ir 0 Valančiūno taškų,https://www.delfi.lt/krepsinis/naujienos/nba-pasiruosimo-cikle-pelicans-pralaimejimas-ir-0-valanciuno-tasku.d?id=94781809
Mokslas,"700 tūkstančių Marso paviršiaus struktūrų tyrimas parodė, kas vyksta itin retoje šios planetos atmosferoje",https://www.delfi.lt/mokslas/mokslas/700-tukstanciu-marso-pavirsiaus-strukturu-tyrimas-parode-kas-vyksta-itin-retoje-sios-planetos-atmosferoje.d?id=94781063
Maistas,"Dietistė Egidija palygino įprastas bulves ir batatus: mitas, kad vienos yra labiau nepalankios sveikatai",https://www.delfi.lt/maistas/produktu-apzvalgos/dietiste-egidija-palygino-iprastas-bulves-ir-batatus-mitas-kad-vienos-yra-labiau-nepalankios-sveikatai.d?id=94776827
Kelionės,"Rinkdamiesi pigius skrydžius ne visada sutaupote: paaiškėjo, kokius mokesčius oro linijos slepia dažniausiai",https://www.delfi.lt/keliones/patarimai/rinkdamiesi-pigius-skrydzius-ne-visada-sutaupote-paaiskejo-kokius-mokescius-oro-linijos-slepia-dazniausiai.d?id=94756749
Veidai,Festivalyje dalyvavusi seksualioji Demi Rose nepaliko vietos fantazijai: pozavo visiškai nuoga,https://www.delfi.lt/veidai/uzsienio-zvaigzdes/festivalyje-dalyvavusi-seksualioji-demi-rose-nepaliko-vietos-fantazijai-pozavo-visiskai-nuoga.d?id=94757745
Gyvenimas,"Lengvi būdai, kaip pašalinti lipdukų klijus nuo bet kokio paviršiaus",https://www.delfi.lt/gyvenimas/namai/lengvi-budai-kaip-pasalinti-lipduku-klijus-nuo-bet-kokio-pavirsiaus.d?id=94738741
Lietuvoje,"Briuselyje nuskambėjo aštrūs priekaištai Lietuvai, vienam regionui gresia rimti nemalonumai",https://www.delfi.lt/news/daily/lithuania/briuselyje-nuskambejo-astrus-priekaistai-lietuvai-vienam-regionui-gresia-rimti-nemalonumai.d?id=94772555
Užsienyje,„Hamas“ ataka Izraelyje. Izraelio artilerija Gazos Ruožą bombarduoja kas 30 sekundžių,https://www.delfi.lt/news/daily/world/hamas-ataka-izraelyje-izraelio-artilerija-gazos-ruoza-bombarduoja-kas-30-sekundziu.d?id=94770641
Užsienyje,"Karas Ukrainoje. Neramumai Kryme: pranešta apie raketų ataką, uždarytas tiltas",https://www.delfi.lt/news/daily/world/karas-ukrainoje-neramumai-kryme-pranesta-apie-raketu-ataka-uzdarytas-tiltas.d?id=94770709
Lietuvoje,"Penktadienį gatvėse išvysime daugiau pareigūnų: sostinės žydų gimnazijoje – sustiprinta padėtis, budės dešimtys tėvų",https://www.delfi.lt/news/daily/lithuania/penktadieni-gatvese-isvysime-daugiau-pareigunu-sostines-zydu-gimnazijoje-sustiprinta-padetis-budes-desimtys-tevu.d?id=94775001
Veidai,"Karolio Akulavičiaus žmona Ingrida – apie nematomą populiarumo pusę: gyvenimą pakeitęs Donato Čižausko pasiūlymas, gerbėjų skambučiai ir ritualas prieš koncertą",https://www.delfi.lt/veidai/zmones/karolio-akulaviciaus-zmona-ingrida-apie-nematoma-populiarumo-puse-gyvenima-pakeites-donato-cizausko-pasiulymas-gerbeju-skambuciai-ir-ritualas-pries-koncerta.d?id=94742711
Plius,Dokumentinis filmas „Mama. Agnė Jagelavičiūtė“: širdį verianti dukros netekusios mamos išpažintis,https://www.delfi.lt/plius/delfi-dokumentika/dokumentinis-filmas-mama-agne-jagelaviciute-sirdi-verianti-dukros-netekusios-mamos-ispazintis.d?id=94367041
Nuomonės,Ramūnas Bogdanas. Kodėl toks nervingas kariuomenės vado balsas?,https://www.delfi.lt/news/ringas/lit/ramunas-bogdanas-kodel-toks-nervingas-kariuomenes-vado-balsas.d?id=94739763
Lietuvoje,Valdininkams leidus iškirsti griežtai saugomą mišką aiškėja nauja informacija: šalia naikinama dar viena svarbi buveinė,https://www.delfi.lt/news/daily/lithuania/valdininkams-leidus-iskirsti-grieztai-saugoma-miska-aiskeja-nauja-informacija-salia-naikinama-dar-viena-svarbi-buveine.d?id=94766847
Lietuvoje,Penktadienį visoje šalyje stiprinamas policijos darbas: turi svarbų prašymą ir visiems Lietuvos žmonėms,https://www.delfi.lt/news/daily/lithuania/penktadieni-visoje-salyje-stiprinamas-policijos-darbas-turi-svarbu-prasyma-ir-visiems-lietuvos-zmonems.d?id=94781793
Lietuvoje,"Po viešumoje pasirodžiusių faktų – griežtas vertinimas Bajarūnui: tai, kas vyksta, nenormalu",https://www.delfi.lt/news/daily/lithuania/po-viesumoje-pasirodziusiu-faktu-grieztas-vertinimas-bajarunui-tai-kas-vyksta-nenormalu.d?id=94780109
Lietuvoje,Sinoptikai pataria dar nepamiršti šilumos lauke: kai kur temperatūra pakils iki 20 laipsnių,https://www.delfi.lt/news/daily/lithuania/sinoptikai-pataria-dar-nepamirsti-silumos-lauke-kai-kur-temperatura-pakils-iki-20-laipsniu.d?id=94781579
Lietuvoje,Blinkevičiūtė: socialdemokratai palaikys apkaltą Žemaitaičiui,https://www.delfi.lt/news/daily/lithuania/blinkeviciute-socialdemokratai-palaikys-apkalta-zemaitaiciui.d?id=94782115
Lietuvoje,Mokytojai ir policija galės laisvai tikrinti moksleivių daiktus,https://www.delfi.lt/news/daily/lithuania/mokytojai-ir-policija-gales-laisvai-tikrinti-moksleiviu-daiktus.d?id=94659493
Lietuvoje,"Penktadienį gatvėse išvysime daugiau pareigūnų: sostinės žydų gimnazijoje – sustiprinta padėtis, budės dešimtys tėvų",https://www.delfi.lt/news/daily/lithuania/penktadieni-gatvese-isvysime-daugiau-pareigunu-sostines-zydu-gimnazijoje-sustiprinta-padetis-budes-desimtys-tevu.d?id=94775001
Lietuvoje,Absurdas mokyklose: net ir matematiką dėsto ne matematikai,https://www.delfi.lt/news/daily/lithuania/absurdas-mokyklose-net-ir-matematika-desto-ne-matematikai.d?id=94711809
Lietuvoje,Landsbergis telefonu kalbėjosi su Kuleba: ragina Ukrainai suteikti daugiau ilgojo nuotolio raketų,https://www.delfi.lt/news/daily/lithuania/landsbergis-telefonu-kalbejosi-su-kuleba-ragina-ukrainai-suteikti-daugiau-ilgojo-nuotolio-raketu.d?id=94780939
Lietuvoje,"Anušauskas: jei Izraelis paprašytų, svarstytume paramos klausimą",https://www.delfi.lt/news/daily/lithuania/anusauskas-jei-izraelis-paprasytu-svarstytume-paramos-klausima.d?id=94780925
